sample_size,time_taken_white_noise,time_taken_whiten_noise
100,0.117267126,0.051944068
200,0.05461485,0.021993517
300,0.09260853,0.034612926
400,0.06361949,0.054753658
500,0.07751487,0.031788893
600,0.084216739,0.036555312
700,0.126863315,0.032639587
800,0.141054304,0.077692048
900,0.107095978,0.071306573
1000,0.148189567,0.103400134
100,0.010951246,0.002107816
200,0.036065722,0.008931209
300,0.048529754,0.029981531
400,0.067620886,0.021756067
500,0.070286053,0.03725031
600,0.102183247,0.031626362
700,0.073868939,0.034982791
800,0.095960908,0.038833829
900,0.134400307,0.041574574
1000,0.159626823,0.089212095
100,0.012969187,0.002181483
200,0.032581207,0.009133573
300,0.041865865,0.035676486
400,0.06552864,0.020146333
500,0.056562447,0.034400259
600,0.081776724,0.031540242
700,0.091620613,0.023654496
800,0.104885186,0.067512733
900,0.129172552,0.038700227
1000,0.161764366,0.081021731
100,0.00791956,0.002107619
200,0.038402201,0.008622014
300,0.044325924,0.031980571
400,0.071991128,0.018931073
500,0.077007751,0.037924278
600,0.084077072,0.045459235
700,0.100742195,0.023085117
800,0.105045025,0.045204481
900,0.131747154,0.034208177
1000,0.165907193,0.100623235
100,0.010936656,0.002119996
200,0.029944529,0.008865914
300,0.049682714,0.0309259
400,0.079602235,0.019109017
500,0.064464078,0.051550035
600,0.074857034,0.035546535
700,0.09734105,0.018553007
800,0.11417857,0.0423159
900,0.123974081,0.038382668
1000,0.172130545,0.083957654
100,0.018470701,0.002187022
200,0.037580629,0.009054938
300,0.049036685,0.028528333
400,0.079379332,0.019870639
500,0.058968936,0.040237311
600,0.075223895,0.026983524
700,0.090836683,0.023754536
800,0.095179134,0.04204353
900,0.139332107,0.027982673
1000,0.205584708,0.084127534
100,0.009959728,0.002264547
200,0.03815208,0.007397755
300,0.049418328,0.026374112
400,0.140444024,0.051023803
500,0.063776711,0.0392553
600,0.080736233,0.029176945
700,0.101475056,0.024862777
800,0.158189844,0.076941083
900,0.142224406,0.030595832
1000,0.206120998,0.082511187
100,0.012961454,0.002074247
200,0.035191923,0.009116829
300,0.045202429,0.031945359
400,0.096928108,0.018629759
500,0.069127725,0.041559016
600,0.096847073,0.032247503
700,0.091055687,0.023634711
800,0.102950865,0.044122312
900,0.129935896,0.033090003
1000,0.17980339,0.0926541
100,0.011817125,0.002065814
200,0.039113893,0.009073509
300,0.046327473,0.027240014
400,0.07453287,0.019225375
500,0.067797086,0.037876983
600,0.077631849,0.031410473
700,0.0815287,0.020460456
800,0.119616515,0.044898886
900,0.116342452,0.041741108
1000,0.202353697,0.081651647
100,0.012425644,0.00218657
200,0.039281824,0.008900482
300,0.04750617,0.031327296
400,0.075829665,0.018544332
500,0.067602551,0.036081667
600,0.077142125,0.031870823
700,0.081751209,0.018545326
800,0.094783456,0.040404798
900,0.11270598,0.028868803
1000,0.163405266,0.082747692
100,0.01300633,0.002063707
200,0.030907755,0.009085982
300,0.050601658,0.030213843
400,0.072796879,0.020205846
500,0.065007374,0.040370033
600,0.082529266,0.028072368
700,0.090263062,0.024192834
800,0.098083346,0.053852518
900,0.12447537,0.029239688
1000,0.163496119,0.082474926
100,0.009599354,0.002776502
200,0.044357127,0.01527542
300,0.052363494,0.035961787
400,0.077315493,0.020307921
500,0.086146926,0.038912906
600,0.079521766,0.030464484
700,0.091625899,0.022335576
800,0.098079721,0.042900863
900,0.14690547,0.033093066
1000,0.246074788,0.096426429
100,0.009929218,0.002483407
200,0.039350891,0.014333496
300,0.043408812,0.038663286
400,0.078629644,0.022670642
500,0.071203458,0.042405383
600,0.079423402,0.032365138
700,0.096464216,0.029945344
800,0.104664855,0.043735887
900,0.136753098,0.033178129
1000,0.253608368,0.098171226
100,0.012667557,0.003038378
200,0.039933574,0.009755569
300,0.047872102,0.030715263
400,0.078000123,0.022337138
500,0.084298908,0.043099683
600,0.078192035,0.030435211
700,0.085600046,0.020363019
800,0.109082324,0.042803285
900,0.134979025,0.031996149
1000,0.162710036,0.08366246
100,0.011887084,0.002103847
200,0.037259911,0.008894958
300,0.046795733,0.029071476
400,0.072547358,0.018881394
500,0.063499708,0.037773491
600,0.078552795,0.031751303
700,0.091116956,0.018444583
800,0.100644602,0.046961414
900,0.145102992,0.036413094
1000,0.171968115,0.096137487
100,0.01300465,0.00221765
200,0.035406417,0.008917651
300,0.047668868,0.032295979
400,0.079159514,0.019182899
500,0.066075804,0.040277297
600,0.082171475,0.035330817
700,0.079798384,0.023023309
800,0.087670042,0.042565523
900,0.146442451,0.032357268
1000,0.166351279,0.096064173
100,0.012885917,0.002276807
200,0.036943028,0.009398848
300,0.048871312,0.033556225
400,0.077156221,0.019855508
500,0.06772801,0.039157558
600,0.076212498,0.031688811
700,0.104764868,0.022142105
800,0.095635079,0.049614153
900,0.133803935,0.033542842
1000,0.17412118,0.084020043
100,0.007913254,0.002035065
200,0.036956314,0.008079232
300,0.046283678,0.027402742
400,0.071693328,0.020271365
500,0.0677965,0.037632728
600,0.083854447,0.031807173
700,0.082078377,0.021495508
800,0.110826046,0.03851448
900,0.129902898,0.030545108
1000,0.160784057,0.081233197
100,0.011541784,0.002184266
200,0.032961027,0.009016645
300,0.04412049,0.031526443
400,0.074426234,0.019580008
500,0.06796306,0.036743637
600,0.086249345,0.032112891
700,0.092371198,0.023538662
800,0.125490798,0.043830713
900,0.14076631,0.033022529
1000,0.162898658,0.133909929
100,0.011503259,0.002119567
200,0.034235409,0.008952321
300,0.047526804,0.031693636
400,0.0869051,0.020158968
500,0.070875374,0.040272136
600,0.081523083,0.032353208
700,0.102583166,0.021970842
800,0.076455321,0.042056073
900,0.11343201,0.025231264
1000,0.164017522,0.081332376
